 ,Label,Area
1,DAPI,189.321
2,DAPI,85.428
3,DAPI,160.025
4,DAPI,141.560
5,DAPI,8.863
6,DAPI,38.898
7,DAPI,117.680
8,DAPI,6.401
9,DAPI,40.375
10,DAPI,101.677
11,DAPI,40.129
12,DAPI,40.868
13,DAPI,5.416
14,DAPI,46.038
15,DAPI,39.391
16,DAPI,27.081
17,DAPI,34.467
18,DAPI,80.751
19,DAPI,3.447
20,DAPI,82.474
21,DAPI,29.543
22,DAPI,68.195
23,DAPI,114.725
24,DAPI,59.825
25,DAPI,27.081
26,DAPI,106.109
27,DAPI,4.185
28,DAPI,25.358
29,DAPI,30.774
30,DAPI,54.655
31,DAPI,32.005
32,DAPI,21.172
33,DAPI,15.018
34,DAPI,50.469
35,DAPI,51.454
36,DAPI,61.548
37,DAPI,4.678
38,DAPI,28.066
39,DAPI,15.756
40,DAPI,34.221
41,DAPI,3.693
42,DAPI,92.814
43,DAPI,221.572
44,DAPI,10.586
45,DAPI,22.403
46,DAPI,28.558
47,DAPI,21.911
48,DAPI,59.332
49,DAPI,105.862
50,DAPI,23.388
51,DAPI,44.314
52,DAPI,2.462
53,DAPI,43.576
54,DAPI,29.543
55,DAPI,15.264
56,DAPI,22.403
57,DAPI,22.896
58,DAPI,9.601
59,DAPI,99.461
60,DAPI,22.896
61,DAPI,118.418
62,DAPI,11.325
63,DAPI,74.596
64,DAPI,34.713
65,DAPI,20.434
66,DAPI,31.513
67,DAPI,12.310
68,DAPI,2.708
69,DAPI,43.084
70,DAPI,48.254
71,DAPI,48.007
72,DAPI,41.114
73,DAPI,34.959
74,DAPI,32.497
75,DAPI,101.923
76,DAPI,40.129
77,DAPI,26.589
78,DAPI,26.835
79,DAPI,148.700
80,DAPI,19.449
81,DAPI,2.954
82,DAPI,26.096
83,DAPI,27.820
84,DAPI,32.497
85,DAPI,78.289
86,DAPI,27.820
87,DAPI,10.586
88,DAPI,44.561
89,DAPI,8.124
90,DAPI,70.165
91,DAPI,69.426
92,DAPI,66.472
93,DAPI,26.589
94,DAPI,16.987
95,DAPI,84.444
96,DAPI,2.216
97,DAPI,3.200
98,DAPI,12.802
99,DAPI,8.124
100,DAPI,3.693
101,DAPI,16.002
102,DAPI,29.789
103,DAPI,11.079
104,DAPI,14.525
105,DAPI,36.190
106,DAPI,10.586
107,DAPI,37.175
108,DAPI,194.984
109,DAPI,5.909
110,DAPI,32.990
111,DAPI,23.388
112,DAPI,39.637
113,DAPI,2.216
114,DAPI,50.962
115,DAPI,8.863
116,DAPI,17.480
117,DAPI,52.193
118,DAPI,13.541
119,DAPI,35.944
120,DAPI,23.142
121,DAPI,28.558
122,DAPI,40.129
123,DAPI,60.317
124,DAPI,7.878
125,DAPI,10.340
126,DAPI,26.835
127,DAPI,44.068
128,DAPI,33.728
129,DAPI,7.878
130,DAPI,6.647
131,DAPI,13.541
132,DAPI,33.974
133,DAPI,11.571
134,DAPI,57.116
135,DAPI,40.868
136,DAPI,19.203
137,DAPI,27.081
138,DAPI,26.589
139,DAPI,16.495
140,DAPI,71.642
141,DAPI,89.614
142,DAPI,54.655
143,DAPI,28.312
144,DAPI,27.327
145,DAPI,64.256
146,DAPI,29.789
147,DAPI,43.822
148,DAPI,45.053
149,DAPI,32.990
150,DAPI,2.708
151,DAPI,38.160
152,DAPI,8.863
153,DAPI,36.929
154,DAPI,2.216
155,DAPI,102.662
156,DAPI,20.188
157,DAPI,43.576
158,DAPI,35.944
159,DAPI,35.698
160,DAPI,48.992
161,DAPI,3.693
162,DAPI,64.995
163,DAPI,25.850
164,DAPI,72.134
165,DAPI,30.528
166,DAPI,125.558
167,DAPI,55.639
168,DAPI,41.114
169,DAPI,40.868
170,DAPI,6.893
171,DAPI,64.502
172,DAPI,16.249
173,DAPI,83.705
174,DAPI,24.127
175,DAPI,50.715
176,DAPI,73.611
177,DAPI,16.987
178,DAPI,30.035
179,DAPI,69.672
180,DAPI,40.375
181,DAPI,40.868
182,DAPI,47.515
183,DAPI,46.776
184,DAPI,6.647
185,DAPI,67.703
186,DAPI,128.266
187,DAPI,102.662
188,DAPI,68.687
189,DAPI,73.857
190,DAPI,47.023
191,DAPI,60.317
192,DAPI,47.269
193,DAPI,3.447
194,DAPI,23.881
195,DAPI,24.619
196,DAPI,33.482
197,DAPI,109.063
198,DAPI,56.624
199,DAPI,39.144
200,DAPI,9.109
201,DAPI,41.360
202,DAPI,56.624
203,DAPI,4.924
204,DAPI,57.609
205,DAPI,12.802
206,DAPI,76.812
207,DAPI,31.266
208,DAPI,21.911
209,DAPI,37.421
210,DAPI,60.071
211,DAPI,39.144
212,DAPI,80.751
213,DAPI,44.314
214,DAPI,28.558
215,DAPI,42.837
216,DAPI,3.939
217,GFP,6.401
218,GFP,7.632
219,GFP,16.741
220,GFP,12.063
221,GFP,7.386
222,GFP,105.370
223,GFP,14.033
224,GFP,10.340
225,GFP,8.124
226,GFP,5.909
227,GFP,11.817
228,GFP,9.848
229,GFP,28.558
230,GFP,6.893
231,GFP,58.101
232,GFP,49.977
233,GFP,46.776
234,GFP,3.939
235,GFP,33.236
236,GFP,28.312
237,GFP,62.286
238,GFP,9.848
239,GFP,22.896
240,GFP,64.010
241,GFP,60.071
242,GFP,9.109
243,GFP,86.413
244,GFP,13.294
245,GFP,29.543
246,GFP,54.655
247,GFP,31.266
248,GFP,20.680
249,GFP,50.223
250,GFP,50.962
251,GFP,63.517
252,GFP,9.355
253,GFP,4.185
254,GFP,15.264
255,GFP,27.573
256,GFP,92.322
257,GFP,199.908
258,GFP,10.094
259,GFP,21.419
260,GFP,52.193
261,GFP,57.363
262,GFP,23.881
263,GFP,43.822
264,GFP,12.802
265,GFP,29.051
266,GFP,14.525
267,GFP,22.403
268,GFP,21.911
269,GFP,9.355
270,GFP,102.416
271,GFP,22.403
272,GFP,10.832
273,GFP,34.221
274,GFP,72.627
275,GFP,98.230
276,GFP,5.416
277,GFP,11.817
278,GFP,11.571
279,GFP,76.566
280,GFP,48.007
281,GFP,40.868
282,GFP,44.561
283,GFP,34.713
284,GFP,102.662
285,GFP,26.096
286,GFP,26.096
287,GFP,10.340
288,GFP,17.972
289,GFP,12.556
290,GFP,19.203
291,GFP,2.216
292,GFP,25.112
293,GFP,31.759
294,GFP,41.606
295,GFP,11.079
296,GFP,22.896
297,GFP,8.124
298,GFP,44.314
299,GFP,7.632
300,GFP,77.304
301,GFP,25.358
302,GFP,16.495
303,GFP,92.568
304,GFP,2.462
305,GFP,2.708
306,GFP,3.447
307,GFP,26.589
308,GFP,4.185
309,GFP,5.662
310,GFP,12.802
311,GFP,26.342
312,GFP,10.586
313,GFP,37.421
314,GFP,35.205
315,GFP,32.497
316,GFP,23.388
317,GFP,4.185
318,GFP,39.637
319,GFP,7.140
320,GFP,51.454
321,GFP,12.802
322,GFP,13.541
323,GFP,20.188
324,GFP,37.175
325,GFP,39.883
326,GFP,60.809
327,GFP,9.848
328,GFP,35.452
329,GFP,5.909
330,GFP,3.200
331,GFP,7.140
332,GFP,4.924
333,GFP,10.340
334,GFP,40.868
335,GFP,39.883
336,GFP,18.464
337,GFP,25.850
338,GFP,28.066
339,GFP,19.203
340,GFP,34.221
341,GFP,2.216
342,GFP,19.695
343,GFP,2.216
344,GFP,35.205
345,GFP,2.708
346,GFP,7.878
347,GFP,91.091
348,GFP,65.487
349,GFP,33.482
350,GFP,35.205
351,GFP,2.462
352,GFP,13.541
353,GFP,86.167
354,GFP,39.637
355,GFP,83.213
356,GFP,21.172
357,GFP,3.939
358,GFP,26.589
359,GFP,8.124
360,GFP,58.594
361,GFP,3.200
362,GFP,13.787
363,GFP,2.462
364,GFP,22.650
365,GFP,16.002
366,GFP,18.711
367,GFP,4.924
368,GFP,2.462
369,GFP,2.708
370,GFP,27.081
371,GFP,4.431
372,GFP,2.708
373,GFP,21.172
374,GFP,2.708
375,GFP,24.373
376,GFP,15.018
377,GFP,5.662
378,GFP,18.464
379,GFP,5.662
